amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended 
701-2902874-2061862	701-2902874-2061862	2024-10-29T21:28:13+00:00	2024-10-29T22:30:51+00:00	Cancelled	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedr	N1338-3-Sage Green-3x5-US-V1	B0DBYMRB1C	Cancelled	0										Garson	Ontario	P3L 1E5	CA		false			false
701-6529443-2566636	701-6529443-2566636	2024-10-29T00:51:27+00:00	2024-10-29T00:56:00+00:00	Cancelled	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedr	N1338-3-Sage Green-3x5-US-V1	B0DBYMRB1C	Cancelled	0										Garson	Ontario	P3L 1E5	CA		false			false
701-4925774-2701063	701-4925774-2701063	2024-10-25T13:56:47+00:00	2024-10-26T17:11:20+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Beige Abstract Geometric Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom	G24136-7-Beige-3x5-US-V1	B0DBZ697XG	Shipped	1	CAD	53.66								Laval	Quebec	H7R 5X9	CA		false			false
701-3938564-4466614	701-3938564-4466614	2024-10-21T13:59:18+00:00	2024-10-22T17:26:38+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedr	N1338-3-Sage Green-3x5-US-V1	B0DBYMRB1C	Shipped	1	CAD	53.66								Paradise	Newfoundland	A1L 3T9	CA		false			false
701-3041267-3951428	701-3041267-3951428	2024-10-20T06:12:23+00:00	2024-10-20T19:36:00+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedr	N1338-3-Sage Green-3x5-US-V1	B0DBYMRB1C	Shipped	1	CAD	53.66								Burlington	Ontario	L7L 2W7	CA		false			false
701-3997938-4411467	701-3997938-4411467	2024-10-16T02:03:33+00:00	2024-10-18T07:54:12+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedr	N1338-3-Sage Green-3x5-US-V1	B0DBYMRB1C	Shipped	1	CAD	53.66								Calgary	Alberta	T2E 1S6	CA		true			false
701-8505889-8273820	701-8505889-8273820	2024-10-15T21:03:15+00:00	2024-10-16T17:24:57+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Beige Abstract Geometric Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom	G24136-7-Beige-3x5-US-V1	B0DBZ697XG	Shipped	1	CAD	53.66								Carrying Place	Ontario	K0K 1L0	CA		false			false
701-8863674-9241828	701-8863674-9241828	2024-10-14T12:51:16+00:00	2024-10-17T18:12:25+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Orange Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom	N1338-1-Orange-3x5-US-V1	B0DBZ7YNH5	Shipped	1	CAD	53.66								Salt spring island	British Columbia	V8K1H8	CA		false			false
S01-4412485-2868406	CONSUMER-20241016-24027	2024-10-16T02:40:23+00:00	2024-10-18T00:45:22+00:00	Shipped	Amazon	Non-Amazon US			Standard	LUXRUG Washable Area Rug 8x10 - Large Beige Boho Rugs for Living Room Soft Abstract Bedroom Rug Ultra-Thin Modern Geometric Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor	G24136-7-Beige-8x10-US-V1	B0DBZ3PDH4	Shipped	1										TAVARES	FL	32778-3446	US		false			false
S01-0475499-3234061	CONSUMER-20241015-61543	2024-10-15T06:15:40+00:00	2024-10-15T23:54:00+00:00	Shipped	Amazon	Non-Amazon US			Standard	LUXRUG Washable Area Rug 8x10 - Large Sage Green Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Distressed Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor	G24267-5-Green-8x10-US-V1	B0DBVM69Y6	Shipped	1										MOSCOW	PA	18444-5130	US		false			false
