amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended 
112-3561942-7647453	112-3561942-7647453	2024-12-16T17:29:12+00:00	2024-12-22T13:26:04+00:00	Shipped	Amazon	Amazon.com			Standard	LUXRUG Washable Area Rug 8x10 - Large Cream Colorful Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Traditional Floral Carpet Stain Res	G24267-1A-Cream-8x10-US-V1	B0DBYVNMF8	Shipped	1	USD	159.99	7.34					16.85		PEYTON	CO	80831-4727	US	PLM-7bc03c68-8258-4a53-b1c2-1834890f6ac8	false			false
114-1119268-1091415	114-1119268-1091415	2024-12-16T17:06:38+00:00	2024-12-17T14:22:07+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 6x9 Area Rug for Living Room - Large Traditional Floral Washable Rugs for Bedroom Non-Slip Cream Stain Resistant Dining Room Rug Colorful Low-P	G24267-1A-Cream-6x9-US-V1	B0DBYV567L	Shipped	1	USD	119.99	4.8					40.0		CHESTER SPRINGS	PA	19425-2912	US	PLM-7bc03c68-8258-4a53-b1c2-1834890f6ac8	false			false
111-7243051-0115421	111-7243051-0115421	2024-12-16T17:06:12+00:00	2024-12-17T01:12:15+00:00	Cancelled	Amazon	Amazon.com			Expedited	LUXRUG Area Rugs 9x12 Living Room - Large Washable Cream Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Farmhouse Oriental Carpet Stain Resistant R	G24267-2-Beige-9x12-US-V1	B0DBVN24HV	Cancelled	0										HENDERSON	NV	89044-0300	US		false			false
114-5340022-1919461	114-5340022-1919461	2024-12-16T16:51:18+00:00	2024-12-16T23:36:04+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 6x9 Area Rug for Living Room - Large Abstract Washable Rugs for Bedroom Non-Slip Charcoal Grey Stain Resistant Dining Room Rug Geometric Low-Pi	G24136-13-Grey-6x9-US-V1	B0DBZ2P9PH	Shipped	1	USD	119.99	5.31					35.0		ROUND ROCK	TX	78665-5665	US	PLM-4dc80395-ad5b-451d-bd4d-8649a9f8689a	false			false
111-4482031-2861002	111-4482031-2861002	2024-12-16T15:07:01+00:00	2025-01-02T01:11:17+00:00	Cancelled	Amazon	Amazon.com			Standard	LUXRUG Area Rugs 9x12 Living Room - Large Washable Sage Green Boho Rugs for Bedroom Soft Abstract Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant	N1338-3-Sage Green-9x12-US-V1	B0DBZ4M9KK	Cancelled	0										FORT ATKINSON	WI	53538-8911	US		false			false
111-9487467-3829841	111-9487467-3829841	2024-12-16T13:46:11+00:00	2024-12-21T00:25:34+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 6x9 Area Rug for Living Room - Large Oriental Washable Rugs for Bedroom Non-Slip Sage Green Stain Resistant Dining Room Rug Farmhouse Low-Pile	G24267-5-Green-6x9-US-V1	B0DBVJDNXF	Shipped	1	USD	119.99	4.8					40.0		HUDSONVILLE	MI	49426-9715	US	PLM-7bc03c68-8258-4a53-b1c2-1834890f6ac8	false			false
112-3141228-3662656	112-3141228-3662656	2024-12-16T10:21:04+00:00	2024-12-22T08:25:21+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Vintage Oriental Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Be	G24267-5-Green-3x5-US-V1	B0DBVPWW8F	Shipped	1	USD	38.99								HANOVER	NH	03755-4901	US		false			false
111-4790983-5072243	111-4790983-5072243	2024-12-16T07:15:19+00:00	2024-12-17T01:44:50+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Area Rugs 9x12 Living Room - Large Washable Cream Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Colorful Traditional Floral Carpet Stain Re	G24267-1A-Cream-9x12-US-V1	B0DBYZ1P1H	Shipped	1	USD	219.99	13.05					40.0		GRANITE BAY	CA	95746-7106	US	PLM-7bc03c68-8258-4a53-b1c2-1834890f6ac8	false			false
113-3898278-3041060	113-3898278-3041060	2024-12-16T07:10:27+00:00	2024-12-21T11:01:20+00:00	Shipped	Amazon	Amazon.com			Standard	LUXRUG 6x9 Area Rug for Living Room - Large Oriental Washable Rugs for Bedroom Non-Slip Pink Stain Resistant Dining Room Rug Farmhouse Low-Pile Carpet	G24267-4-Pink-6x9-US-V1	B0DBVPKNL7	Shipped	1	USD	109.99	8.39	3.36					3.36	ALBUQUERQUE	NM	87111-1460	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false			false
113-3898278-3041060	113-3898278-3041060	2024-12-16T07:10:27+00:00	2024-12-21T11:01:20+00:00	Shipped	Amazon	Amazon.com			Standard	LUXRUG 6x9 Area Rug for Living Room - Large Oriental Washable Rugs for Bedroom Non-Slip Sage Green Stain Resistant Dining Room Rug Farmhouse Low-Pile	G24267-5-Green-6x9-US-V1	B0DBVJDNXF	Shipped	1	USD	119.99	9.15	3.63					3.63	ALBUQUERQUE	NM	87111-1460	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false			false
